,v,a,z,t,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed,output_folder
276,0.991,0.997,0.989,0.997,,,,,,,,,,,,,,,
277,0.992,0.997,0.99,0.998,,,,,,,,,,,,,,,
278,0.993,0.998,0.991,0.997,,,,,,,,,,,,,,,
279,0.99,0.998,0.99,0.998,,,,,,,,,,,,,,,
280,0.991,0.997,0.99,0.997,,,,,,,,,,,,,,,
281,0.988,0.998,0.99,0.998,,,,,,,,,,,,,,,
282,0.991,0.998,0.99,0.998,,,,,,,,,,,,,,,
283,0.993,0.997,0.987,0.998,,,,,,,,,,,,,,,
284,0.99,0.997,0.99,0.998,,,,,,,,,,,,,,,
285,0.992,0.997,0.991,0.998,,,,,,,,,,,,,,,
286,0.989,0.998,0.989,0.998,,,,,,,,,,,,,,,
287,0.991,0.998,0.99,0.998,,,,,,,,,,,,,,,
288,0.992,0.998,0.991,0.998,,,,,,,,,,,,,,,
289,0.992,0.998,0.988,0.998,,,,,,,,,,,,,,,
290,0.991,0.997,0.989,0.997,,,,,,,,,,,,,,,
291,0.99,0.997,0.989,0.996,,,,,,,,,,,,,,,
292,0.99,0.998,0.989,0.998,,,,,,,,,,,,,,,
293,0.99,0.998,0.989,0.998,,,,,,,,,,,,,,,
294,0.991,0.997,0.992,0.997,,,,,,,,,,,,,,,
295,0.99,0.998,0.99,0.998,,,,,,,,,,,,,,,
296,0.987,0.997,0.988,0.997,,,,,,,,,,,,,,,
297,0.989,0.998,0.99,0.998,,,,,,,,,,,,,,,
298,0.991,0.998,0.99,0.998,,,,,,,,,,,,,,,
299,0.989,0.998,0.99,0.998,,,,,,,,,,,,,,,
300,0.988,0.997,0.99,0.997,,,,,,,,,,,,,,,
301,0.989,0.998,0.988,0.998,,,,,,,,,,,,,,,
302,0.988,0.997,0.988,0.998,,,,,,,,,,,,,,,
303,0.992,0.997,0.988,0.997,,,,,,,,,,,,,,,
304,0.989,0.998,0.991,0.998,,,,,,,,,,,,,,,
305,0.989,0.997,0.989,0.997,,,,,,,,,,,,,,,
306,0.989,0.998,0.989,0.998,,,,,,,,,,,,,,,
307,0.992,0.997,0.992,0.998,,,,,,,,,,,,,,,
308,0.99,0.998,0.989,0.997,,,,,,,,,,,,,,,
309,0.992,0.998,0.99,0.997,,,,,,,,,,,,,,,
310,0.987,0.997,0.99,0.998,,,,,,,,,,,,,,,
311,0.991,0.997,0.989,0.998,,,,,,,,,,,,,,,
312,0.99,0.998,0.989,0.997,,,,,,,,,,,,,,,
313,0.991,0.999,0.989,0.998,,,,,,,,,,,,,,,
314,0.991,0.998,0.991,0.997,,,,,,,,,,,,,,,
315,0.991,0.998,0.988,0.998,,,,,,,,,,,,,,,
316,0.989,0.998,0.992,0.998,,,,,,,,,,,,,,,
317,0.991,0.998,0.988,0.998,,,,,,,,,,,,,,,
318,0.991,0.998,0.988,0.998,,,,,,,,,,,,,,,
319,0.991,0.998,0.99,0.998,,,,,,,,,,,,,,,
320,0.989,0.997,0.991,0.997,,,,,,,,,,,,,,,
321,0.991,0.997,0.99,0.998,,,,,,,,,,,,,,,
322,0.991,0.997,0.99,0.997,,,,,,,,,,,,,,,
323,0.988,0.998,0.991,0.997,,,,,,,,,,,,,,,
324,0.993,0.998,0.99,0.997,,,,,,,,,,,,,,,
325,0.99,0.998,0.99,0.997,,,,,,,,,,,,,,,
326,0.99,0.997,0.988,0.998,,,,,,,,,,,,,,,
327,0.991,0.998,0.99,0.997,,,,,,,,,,,,,,,
328,0.989,0.997,0.989,0.999,,,,,,,,,,,,,,,
329,0.991,0.997,0.988,0.997,,,,,,,,,,,,,,,
330,0.989,0.997,0.99,0.997,,,,,,,,,,,,,,,
331,0.99,0.997,0.987,0.997,,,,,,,,,,,,,,,
332,0.988,0.998,0.988,0.998,,,,,,,,,,,,,,,
333,0.99,0.998,0.988,0.998,,,,,,,,,,,,,,,
334,0.991,0.997,0.99,0.998,,,,,,,,,,,,,,,
335,0.992,0.997,0.99,0.997,,,,,,,,,,,,,,,
336,0.989,0.998,0.991,0.997,,,,,,,,,,,,,,,
337,0.99,0.997,0.991,0.998,,,,,,,,,,,,,,,
338,0.993,0.997,0.99,0.998,,,,,,,,,,,,,,,
339,0.992,0.998,0.992,0.998,,,,,,,,,,,,,,,
340,0.989,0.998,0.989,0.998,,,,,,,,,,,,,,,
341,0.99,0.998,0.989,0.998,,,,,,,,,,,,,,,
342,0.987,0.997,0.989,0.998,,,,,,,,,,,,,,,
343,0.991,0.997,0.99,0.997,,,,,,,,,,,,,,,
344,0.99,0.998,0.989,0.997,,,,,,,,,,,,,,,
345,0.99,0.997,0.99,0.997,,,,,,,,,,,,,,,
346,0.99,0.998,0.991,0.998,,,,,,,,,,,,,,,
347,0.99,0.997,0.989,0.998,,,,,,,,,,,,,,,
348,0.99,0.997,0.988,0.998,,,,,,,,,,,,,,,
349,0.99,0.997,0.988,0.998,,,,,,,,,,,,,,,
350,0.991,0.997,0.99,0.998,,,,,,,,,,,,,,,
351,0.992,0.998,0.988,0.998,,,,,,,,,,,,,,,
352,0.99,0.997,0.987,0.998,,,,,,,,,,,,,,,
353,0.99,0.997,0.99,0.997,,,,,,,,,,,,,,,
354,0.989,0.997,0.989,0.997,,,,,,,,,,,,,,,
355,0.99,0.996,0.988,0.997,,,,,,,,,,,,,,,
356,0.987,0.998,0.989,0.997,,,,,,,,,,,,,,,
357,0.99,0.997,0.987,0.998,,,,,,,,,,,,,,,
358,0.989,0.997,0.99,0.997,,,,,,,,,,,,,,,
359,0.991,0.997,0.99,0.997,,,,,,,,,,,,,,,
360,0.991,0.997,0.991,0.998,,,,,,,,,,,,,,,
361,0.987,0.998,0.988,0.997,,,,,,,,,,,,,,,
362,0.99,0.998,0.99,0.998,,,,,,,,,,,,,,,
363,0.99,0.998,0.99,0.998,,,,,,,,,,,,,,,
364,0.992,0.997,0.991,0.998,,,,,,,,,,,,,,,
365,0.991,0.998,0.989,0.997,,,,,,,,,,,,,,,
366,0.99,0.998,0.991,0.998,,,,,,,,,,,,,,,
367,0.993,0.998,0.992,0.998,,,,,,,,,,,,,,,
368,0.987,0.997,0.99,0.997,,,,,,,,,,,,,,,
369,0.991,0.998,0.99,0.998,,,,,,,,,,,,,,,
370,0.989,0.998,0.992,0.997,,,,,,,,,,,,,,,
371,0.988,0.998,0.989,0.998,,,,,,,,,,,,,,,
372,0.991,0.998,0.992,0.998,,,,,,,,,,,,,,,
373,0.989,0.998,0.988,0.998,,,,,,,,,,,,,,,
